trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
63,False,"{'a': 1, 'e': 0.015873015873015872}",20,6,1.2254694738566336,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
64,False,"{'a': 1, 'e': 0.015625}",35,28,8.49626633837734,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 1, 'e': 0.015384615384615385}",25,13,16.69871240849033,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 1, 'e': 0.015151515151515152}",20,13,12.896748312173456,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 1, 'e': 0.014925373134328358}",20,9,19.955845555389228,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 1, 'e': 0.014705882352941176}",20,0,30.141223766164014,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 1, 'e': 0.014492753623188406}",20,15,10.304332310353105,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 1, 'e': 0.014285714285714285}",30,16,22.841618192068644,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 1, 'e': 0.014084507042253521}",30,13,-4.042958391101393,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
72,False,"{'a': 1, 'e': 0.013888888888888888}",35,7,46.31821812569042,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 1, 'e': 0.0136986301369863}",20,1,26.48586384673438,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 1, 'e': 0.013513513513513514}",20,13,-9.631011453765062,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
75,False,"{'a': 1, 'e': 0.013333333333333334}",25,10,-20.670750073232842,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
76,False,"{'a': 1, 'e': 0.013157894736842105}",35,27,14.802792165743348,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 1, 'e': 0.012987012987012988}",25,14,18.577841347312425,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 1, 'e': 0.01282051282051282}",25,17,14.577780316036737,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 1, 'e': 0.012658227848101266}",30,23,10.861899092253806,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 1, 'e': 0.0125}",25,10,28.58889135036948,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 1, 'e': 0.012345679012345678}",25,17,15.66211450213552,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 1, 'e': 0.012195121951219513}",20,0,27.53984509220996,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 1, 'e': 0.012048192771084338}",20,8,20.82981030668171,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 1, 'e': 0.011904761904761904}",20,14,11.880554477051414,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 1, 'e': 0.011764705882352941}",20,16,7.096824662000205,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 1, 'e': 0.011627906976744186}",25,8,28.638142235309566,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 1, 'e': 0.011494252873563218}",25,16,18.225569383781675,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 1, 'e': 0.011363636363636364}",20,5,12.35719894914252,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 1, 'e': 0.011235955056179775}",30,21,14.635082253020732,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 1, 'e': 0.011111111111111112}",25,8,32.03059294793223,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 1, 'e': 0.01098901098901099}",25,3,-47.788176119699116,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 2}",1
92,False,"{'a': 1, 'e': 0.010869565217391304}",20,11,16.68285287654295,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 1, 'e': 0.010752688172043012}",20,8,24.138613701702507,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 1, 'e': 0.010638297872340425}",25,14,20.0971737984903,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 1, 'e': 0.010526315789473684}",25,10,20.865664759644105,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 1, 'e': 0.010416666666666666}",20,0,28.7413530299551,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 1, 'e': 0.010309278350515464}",20,13,11.04032954054589,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 1, 'e': 0.01020408163265306}",20,10,17.886768548915782,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 1, 'e': 0.010101010101010102}",20,14,-4.23893131240874,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 1, 'e': 0.01}",30,8,35.30036143973224,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 1, 'e': 0.009900990099009901}",25,3,29.62139666320754,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",30,20,20.598528054237516,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,13,19.823379574935576,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",35,19,31.737355393539783,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,10,17.204964524704067,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,8,34.40980224034161,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,9,18.769469849304453,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,12,24.057960892932584,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,0,27.113026951481753,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,10,19.098776948422614,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",30,21,16.553377156216342,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
